First_Prize,Second_Prize,MSE
100,50,1242.1287650000008
150,50,1075.965130624999
150,100,781.7549268750005
200,50,927.5084318750007
200,100,648.2763199999997
200,150,429.88242062500024
250,50,785.0216475000007
250,100,534.8130943749997
250,150,336.88898750000027
250,200,180.10145374999973
300,50,655.3425837499997
300,100,429.07537500000024
300,150,253.02792374999987
300,200,121.58427499999999
300,250,38.866886874999956
350,50,533.9793375000006
350,100,337.05522062499995
350,150,181.77090125000015
350,200,74.56808312500003
350,250,16.395226249999986
350,300,5.629639374999997
400,50,432.2614250000002
400,100,252.22899999999998
400,150,122.83575687499987
400,200,40.44760000000001
400,250,5.619161249999996
400,300,17.921480000000006
400,350,77.81394125000006
450,50,335.9292781249998
450,100,180.822780625
450,150,77.85349874999987
450,200,17.359009374999992
450,250,6.442001874999997
450,300,42.785516250000015
450,350,128.25825499999993
450,400,264.35770749999995
500,50,253.4014993750001
500,100,122.15252999999983
500,150,40.5152125
500,200,7.379462499999997
500,250,18.392125
500,300,82.50503749999987
500,350,188.08456499999977
500,400,340.6552000000001
500,450,547.3919056250002
550,50,185.53720812499984
550,100,77.75034000000016
550,150,19.104680625000015
550,200,7.570324375
550,250,44.16834625000003
550,300,130.454369375
550,350,257.57501375
550,400,439.7719912500001
550,450,659.7305956249994
550,500,935.7212512500003
600,50,122.84370375000015
600,100,46.57037749999995
600,150,8.035374374999996
600,200,21.928239999999995
600,250,83.75634625000016
600,300,187.6108725
600,350,345.4611974999996
600,400,548.35964
600,450,795.7958006250008
600,500,1092.7204624999981
600,550,1443.3864862500009
650,50,78.23945062499993
650,100,21.234425000000012
650,150,9.504813125000009
650,200,44.937658749999976
650,250,131.52391437499998
650,300,264.07184
650,350,439.52502374999926
650,400,664.0477424999997
650,450,937.051025000001
650,500,1265.8122725
650,550,1643.2228449999984
650,600,2062.2225568749977
700,50,46.280830624999965
700,100,10.921175000000005
700,150,23.768419374999972
700,200,82.85050749999999
700,250,184.6722781250002
700,300,353.19519000000025
700,350,551.0263799999998
700,400,800.5610625000005
700,450,1087.4290231250009
700,500,1445.0044250000008
700,550,1824.9473281249966
700,600,2271.711397499999
700,650,2775.009937499999
750,50,24.770047500000004
750,100,13.50460812499999
750,150,47.126249999999985
750,200,134.1943374999998
750,250,257.80621875
750,300,443.98549124999937
750,350,678.4434781250002
750,400,933.1587668749999
750,450,1268.146383749999
750,500,1635.370171875
750,550,2073.3542406250017
750,600,2516.6754618750024
750,650,3015.1905381250053
750,700,3590.2792112500006
800,50,14.498196875000005
800,100,27.624687500000007
800,150,82.66165937499999
800,200,193.47369999999992
800,250,346.0073831249998
800,300,556.9497375000003
800,350,793.8777681250003
800,400,1090.5593999999999
800,450,1438.4673450000016
800,500,1824.0769450000023
800,550,2263.2935337500016
800,600,2759.6218499999995
800,650,3309.5900106249987
800,700,3892.7432825000005
800,750,4548.603898750001
850,50,15.994317500000003
850,100,50.38723687499994
850,150,132.28280375000006
850,200,269.7871562500002
850,250,442.0898537499995
850,300,664.9726325000001
850,350,941.426915
850,400,1265.9614018750003
850,450,1639.5030843750005
850,500,2047.995909999999
850,550,2495.8096750000022
850,600,3039.268731874998
850,650,3582.038159375001
850,700,4196.37147
850,750,4861.319365624993
850,800,5550.079275000005
900,50,31.96347999999997
900,100,87.39098250000008
900,150,193.6687556250002
900,200,349.5179875000002
900,250,564.0843506249994
900,300,811.2600449999995
900,350,1103.5967406250006
900,400,1447.4497175
900,450,1848.8102681250002
900,500,2290.1160649999993
900,550,2766.0107662499995
900,600,3307.730039999997
900,650,3882.318409374997
900,700,4507.257205000005
900,750,5198.074695000003
900,800,5877.005590000007
900,850,6642.288613124995
950,50,56.051982500000044
950,100,134.72960312500018
950,150,258.3620943749998
950,200,443.81664749999953
950,250,672.0614918749997
950,300,932.9885324999991
950,350,1259.7360143750009
950,400,1636.924435625002
950,450,2053.634344374999
950,500,2528.4161356249992
950,550,3048.6480474999958
950,600,3575.388243750002
950,650,4221.292353750004
950,700,4838.972900000002
950,750,5571.245525625001
950,800,6366.767526250001
950,850,7145.071790624995
950,900,8010.919413124993
1000,50,91.68912062499993
1000,100,200.9055499999999
1000,150,343.84804312500006
1000,200,550.8817200000007
1000,250,815.583046875
1000,300,1087.4278475000006
1000,350,1452.4343187499996
1000,400,1843.9148300000022
1000,450,2257.2897850000004
1000,500,2786.3415625
1000,550,3308.77363875
1000,600,3867.3011599999963
1000,650,4537.049905000008
1000,700,5189.699302500006
1000,750,5941.876328125
1000,800,6690.816480000001
1000,850,7511.2459731250065
1000,900,8451.180965000003
1000,950,9247.398512500013
1050,50,140.22741750000006
1050,100,277.18090812499986
1050,150,451.3552537499996
1050,200,682.6660968749998
1050,250,943.9890756249995
1050,300,1260.9193218749983
1050,350,1644.716306875001
1050,400,2047.6192006249992
1050,450,2533.988008125001
1050,500,3052.113785000002
1050,550,3608.195386250001
1050,600,4191.658897499999
1050,650,4879.378051875006
1050,700,5561.5235543750005
1050,750,6305.479723125005
1050,800,7171.621767499995
1050,850,7984.592088124992
1050,900,8882.016688125002
1050,950,9801.820058750003
1050,1000,10699.573480000008
1100,50,205.07314374999999
1100,100,358.311285
1100,150,550.5546274999992
1100,200,808.8018825000005
1100,250,1099.6758568750004
1100,300,1455.016482499999
1100,350,1841.3838556249996
1100,400,2264.684844999999
1100,450,2757.527827499997
1100,500,3329.794692500005
1100,550,3890.841009999995
1100,600,4517.859779999994
1100,650,5165.057924375
1100,700,5924.887202500001
1100,750,6697.071099374999
1100,800,7484.533682500008
1100,850,8410.375254999994
1100,900,9307.992535
1100,950,10215.273369374996
1100,1000,11250.992385000016
1100,1050,12244.243431875004
1150,50,270.5767550000004
1150,100,451.6132181249995
1150,150,670.4168531250004
1150,200,956.3682081249991
1150,250,1274.272631249999
1150,300,1656.275378750002
1150,350,2064.5666206250003
1150,400,2532.965399999999
1150,450,3044.2128631250002
1150,500,3609.8694806249996
1150,550,4171.853878750003
1150,600,4832.8339168749935
1150,650,5575.518898749998
1150,700,6272.719894999999
1150,750,7140.8131468749925
1150,800,7923.451695624998
1150,850,8800.438614999986
1150,900,9784.348544999999
1150,950,10727.42339999999
1150,1000,11758.929461249998
1150,1050,12907.41872875
1150,1100,13983.343976874998
1200,50,365.52528125000015
1200,100,566.2987850000001
1200,150,816.3326362499998
1200,200,1121.4230600000008
1200,250,1428.2218868750012
1200,300,1874.0434949999994
1200,350,2279.564234374997
1200,400,2792.6646400000022
1200,450,3329.3658037500054
1200,500,3891.769404999995
1200,550,4573.518948124996
1200,600,5239.222289999998
1200,650,5925.248218749999
1200,700,6660.699002500006
1200,750,7497.995664375004
1200,800,8396.285999999998
1200,850,9284.478923125005
1200,900,10349.43761249999
1200,950,11240.97601
1200,1000,12338.432450000013
1200,1050,13342.815646874984
1200,1100,14615.537562499983
1200,1150,15673.798216249996
1250,50,451.93661250000065
1250,100,684.6474343749994
1250,150,960.9564137500008
1250,200,1266.1075793749994
1250,250,1642.92228125
1250,300,2064.4660968749995
1250,350,2512.6298081249993
1250,400,3049.260110625001
1250,450,3584.403757500004
1250,500,4227.9635
1250,550,4895.556811875003
1250,600,5583.881332499993
1250,650,6298.26800375
1250,700,7058.534501250006
1250,750,7943.24096875
1250,800,8861.66891875
1250,850,9788.561793125022
1250,900,10737.881144999996
1250,950,11735.119314374997
1250,1000,12922.5403125
1250,1050,14016.414652499987
1250,1100,15163.174256875001
1250,1150,16457.88529687501
1250,1200,17668.684147499993
1300,50,570.904578125
1300,100,819.924315
1300,150,1131.4393768749978
1300,200,1447.85603
1300,250,1860.7658775000014
1300,300,2282.2108299999995
1300,350,2765.9484112499986
1300,400,3294.090772499999
1300,450,3903.6905556249985
1300,500,4550.440797500004
1300,550,5184.477998124996
1300,600,5881.688842499998
1300,650,6735.143319374992
1300,700,7514.723544999996
1300,750,8413.615488749996
1300,800,9278.717789999984
1300,850,10302.372142500013
1300,900,11317.903855000011
1300,950,12362.96698124999
1300,1000,13631.5834575
1300,1050,14586.91664375001
1300,1100,15810.647137500015
1300,1150,17062.74175000001
1300,1200,18354.52948999998
1300,1250,19644.28278500001
1350,50,687.7758424999989
1350,100,937.5101412499994
1350,150,1304.8101393750014
1350,200,1675.211875625003
1350,250,2052.4443237500004
1350,300,2544.597365625
1350,350,3058.6892718750005
1350,400,3591.674256249998
1350,450,4219.859480625002
1350,500,4865.362071874994
1350,550,5510.416160624993
1350,600,6227.317175624995
1350,650,7075.188496249994
1350,700,7992.538473750002
1350,750,8846.031509999999
1350,800,9782.240650624995
1350,850,10778.204766250012
1350,900,11843.737329375004
1350,950,12836.304309374982
1350,1000,14109.184751249979
1350,1050,15166.989877500013
1350,1100,16350.877732500003
1350,1150,17645.254916249996
1350,1200,19003.20642
1350,1250,20408.130566249976
1350,1300,21705.792595625026
1400,50,819.5239737500001
1400,100,1127.7775674999993
1400,150,1473.7181368750005
1400,200,1855.4297300000012
1400,250,2295.360436874999
1400,300,2813.0796825
1400,350,3308.449671875
1400,400,3910.922469999997
1400,450,4525.714741249996
1400,500,5214.263419999998
1400,550,5915.407898750003
1400,600,6706.643209999989
1400,650,7539.414919999999
1400,700,8382.869017499997
1400,750,9292.481460000003
